1. MSAdodcLib.Adodc.ConnectionString, String  
2. MSAdodcLib.Adodc.Enabled, Boolean  
3. MSAdodcLib.Adodc.Height, Single  
4. MSAdodcLib.Adodc.Left, Single  
5. MSAdodcLib.Adodc.Name, String  
6. MSAdodcLib.Adodc.TabIndex, Integer  
7. MSAdodcLib.Adodc.Top, Single  
8. MSAdodcLib.Adodc.Value, Variant  
9. MSAdodcLib.Adodc.Visible, Boolean  
10. MSComCtl2.Animation.BackColor, Long  
11. MSComCtl2.Animation.Enabled, Boolean  
12. MSComCtl2.Animation.Font, StdFont  
13. MSComCtl2.Animation.ForeColor, Long  
14. MSComCtl2.Animation.Height, Single  
15. MSComCtl2.Animation.Left, Single  
16. MSComCtl2.Animation.Name, String  
17. MSComCtl2.Animation.TabIndex, Integer  
18. MSComCtl2.Animation.Top, Single  
19. MSComCtl2.Animation.Value, Variant  
20. MSComCtl2.Animation.Visible, Boolean  
21. MSComCtl2.Animation.Width, Single  
22. MSComCtl2.DTPicker.BackColor, Long  
23. MSComCtl2.DTPicker.Enabled, Boolean  
24. MSComCtl2.DTPicker.Font, StdFont  
25. MSComCtl2.DTPicker.ForeColor, Long  
26. MSComCtl2.DTPicker.Height, Single  
27. MSComCtl2.DTPicker.Left, Single  
28. MSComCtl2.DTPicker.Name, String  
29. MSComCtl2.DTPicker.TabIndex, Integer  
30. MSComCtl2.DTPicker.Top, Single  
31. MSComCtl2.DTPicker.Value, Variant  
32. MSComCtl2.DTPicker.Visible, Boolean  
33. MSComCtl2.DTPicker.Width, Single  
34. MSComCtl2.MonthView.BackColor, Long  
35. MSComCtl2.MonthView.Enabled, Boolean  
36. MSComCtl2.MonthView.Font, StdFont  
37. MSComCtl2.MonthView.ForeColor, Long  
38. MSComCtl2.MonthView.Height, Single  
39. MSComCtl2.MonthView.Left, Single  
40. MSComCtl2.MonthView.Name, String  
41. MSComCtl2.MonthView.TabIndex, Integer  
42. MSComCtl2.MonthView.Top, Single  
43. MSComCtl2.MonthView.Value, Variant  
44. MSComCtl2.MonthView.Visible, Boolean  
45. MSComCtl2.MonthView.Width, Single  
46. MSComctlLib.ImageList.Enabled, Boolean  
47. MSComctlLib.ImageList.Height, Single  
48. MSComctlLib.ImageList.Left, Single  
49. MSComctlLib.ImageList.Name, String  
50. MSComctlLib.ImageList.TabIndex, Integer  
51. MSComctlLib.ImageList.Top, Single  
52. MSComctlLib.ImageList.Value, Variant  
53. MSComctlLib.ImageList.Visible, Boolean  
54. MSComctlLib.ImageList.Width, Single  
55. MSComctlLib.ListView.BackColor, Long  
56. MSComctlLib.ListView.Enabled, Boolean  
57. MSComctlLib.ListView.Font, StdFont  
58. MSComctlLib.ListView.ForeColor, Long  
59. MSComctlLib.ListView.Height, Single  
60. MSComctlLib.ListView.Left, Single  
61. MSComctlLib.ListView.Name, String  
62. MSComctlLib.ListView.TabIndex, Integer  
63. MSComctlLib.ListView.Top, Single  
64. MSComctlLib.ListView.Value, Variant  
65. MSComctlLib.ListView.Visible, Boolean  
66. MSComctlLib.ListView.Width, Single  
67. MSComctlLib.ProgressBar.BackColor, Long  
68. MSComctlLib.ProgressBar.Enabled, Boolean  
69. MSComctlLib.ProgressBar.Font, StdFont  
70. MSComctlLib.ProgressBar.Height, Single  
71. MSComctlLib.ProgressBar.Name, String  
72. MSComctlLib.ProgressBar.TabIndex, Integer  
73. MSComctlLib.ProgressBar.Value, Variant  
74. MSComctlLib.ProgressBar.Visible, Boolean  
75. MSComctlLib.ProgressBar.Width, Single  
76. MSComctlLib.ProgressBar.Text, String  
77. MSComctlLib.StatusBar.BackColor, Long  
78. MSComctlLib.StatusBar.Enabled, Boolean  
79. MSComctlLib.StatusBar.Font, StdFont  
80. MSComctlLib.StatusBar.ForeColor, Long  
81. MSComctlLib.StatusBar.Height, Single  
82. MSComctlLib.StatusBar.Name, String  
83. MSComctlLib.StatusBar.TabIndex, Integer  
84. MSComctlLib.StatusBar.Value, Variant  
85. MSComctlLib.StatusBar.Visible, Boolean  
86. MSComctlLib.StatusBar.Width, Single  
87. MSComctlLib.TabStrip.BackColor, Long  
88. MSComctlLib.TabStrip.Enabled, Boolean  
89. MSComctlLib.TabStrip.Font, StdFont  
90. MSComctlLib.TabStrip.ForeColor, Long  
91. MSComctlLib.TabStrip.Height, Single  
92. MSComctlLib.TabStrip.Name, String  
93. MSComctlLib.TabStrip.TabIndex, Integer  
94. MSComctlLib.TabStrip.Value, Variant  
95. MSComctlLib.TabStrip.Visible, Boolean  
96. MSComctlLib.TabStrip.Width, Single  
97. MSComctlLib.Toolbar.BackColor, Long  
98. MSComctlLib.Toolbar.Enabled, Boolean  
99. MSComctlLib.Toolbar.Font, StdFont  
100. MSComctlLib.Toolbar.ForeColor, Long  
101. MSComctlLib.Toolbar.Height, Single  
102. MSComctlLib.Toolbar.Name, String  
103. MSComctlLib.Toolbar.TabIndex, Integer  
104. MSComctlLib.Toolbar.Value, Variant  
105. MSComctlLib.Toolbar.Visible, Boolean  
106. MSComctlLib.Toolbar.Width, Single  
107. MSComctlLib.Toolbar.Caption, String  
108. MSComctlLib.TreeView.BackColor, Long  
109. MSComctlLib.TreeView.Enabled, Boolean  
110. MSComctlLib.TreeView.Font, StdFont  
111. MSComctlLib.TreeView.ForeColor, Long  
112. MSComctlLib.TreeView.Height, Single  
113. MSComctlLib.TreeView.Name, String  
114. MSComctlLib.TreeView.TabIndex, Integer  
115. MSComctlLib.TreeView.Value, Variant  
116. MSComctlLib.TreeView.Visible, Boolean  
117. MSComctlLib.TreeView.Width, Single  
118. MSComDlg.CommonDialog.BackColor, Long  
119. MSComDlg.CommonDialog.Enabled, Boolean  
120. MSComDlg.CommonDialog.Height, Single  
121. MSComDlg.CommonDialog.Name, String  
122. MSComDlg.CommonDialog.TabIndex, Integer  
123. MSComDlg.CommonDialog.Left, Single  
124. MSComDlg.CommonDialog.Top, Single  
125. MSComDlg.CommonDialog.Width, Single  
126. MSComDlg.CommonDialog.ForeColor, Long  
127. MSComDlg.CommonDialog.Value, Variant  
128. MSDataGridLib.DataGrid.BackColor, Long  
129. MSDataGridLib.DataGrid.Enabled, Boolean  
130. MSDataGridLib.DataGrid.Font, StdFont  
131. MSDataGridLib.DataGrid.ForeColor, Long  
132. MSDataGridLib.DataGrid.Height, Single  
133. MSDataGridLib.DataGrid.Left, Single  
134. MSDataGridLib.DataGrid.Name, String  
135. MSDataGridLib.DataGrid.TabIndex, Integer  
136. MSDataGridLib.DataGrid.Top, Single  
137. MSDataGridLib.DataGrid.Value, Variant  
138. MSDataGridLib.DataGrid.Visible, Boolean  
139. MSDataGridLib.DataGrid.Width, Single  
140. MSDataListLib.DataCombo.BackColor, Long  
141. MSDataListLib.DataCombo.Enabled, Boolean  
142. MSDataListLib.DataCombo.Font, StdFont  
143. MSDataListLib.DataCombo.ForeColor, Long  
144. MSDataListLib.DataCombo.Height, Single  
145. MSDataListLib.DataCombo.Left, Single  
146. MSDataListLib.DataCombo.Name, String  
147. MSDataListLib.DataCombo.TabIndex, Integer  
148. MSDataListLib.DataCombo.Top, Single  
149. MSDataListLib.DataCombo.Value, Variant  
150. MSDataListLib.DataCombo.Visible, Boolean  
151. MSDataListLib.DataCombo.Width, Single  
152. MSDataListLib.DataList.BackColor, Long  
153. MSDataListLib.DataList.Enabled, Boolean  
154. MSDataListLib.DataList.Font, StdFont  
155. MSDataListLib.DataList.ForeColor, Long  
156. MSDataListLib.DataList.Height, Single  
157. MSDataListLib.DataList.Left, Single  
158. MSDataListLib.DataList.Name, String  
159. MSDataListLib.DataList.TabIndex, Integer  
160. MSDataListLib.DataList.Top, Single  
161. MSDataListLib.DataList.Value, Variant  
162. MSDataListLib.DataList.Visible, Boolean  
163. MSDataListLib.DataList.Width, Single  
164. MSFlexGridLib.MSFlexGrid.BackColor, Long  
165. MSFlexGridLib.MSFlexGrid.Enabled, Boolean  
166. MSFlexGridLib.MSFlexGrid.Font, StdFont  
167. MSFlexGridLib.MSFlexGrid.ForeColor, Long  
168. MSFlexGridLib.MSFlexGrid.Height, Single  
169. MSFlexGridLib.MSFlexGrid.Left, Single  
170. MSFlexGridLib.MSFlexGrid.Name, String  
171. MSFlexGridLib.MSFlexGrid.TabIndex, Integer  
172. MSFlexGridLib.MSFlexGrid.Top, Single  
173. MSFlexGridLib.MSFlexGrid.Value, Variant  
174. MSFlexGridLib.MSFlexGrid.Visible, Boolean  
175. MSFlexGridLib.MSFlexGrid.Width, Single  
176. MSForms.ComboBox.Enabled, Boolean  
177. MSForms.ComboBox.Font, StdFont  
178. MSForms.ComboBox.Height, Single  
179. MSForms.ComboBox.Left, Single  
180. MSForms.ComboBox.Name, String  
181. MSForms.ComboBox.TabIndex, Integer  
182. MSForms.ComboBox.Top, Single  
183. MSForms.ComboBox.Value, Variant  
184. MSForms.ComboBox.Visible, Boolean  
185. MSForms.ComboBox.Width, Single  
186. MSForms.Label.Enabled, Boolean  
187. MSForms.Label.Font, StdFont  
188. MSForms.Label.Height, Single  
189. MSForms.Label.Left, Single  
190. MSForms.Label.Name, String  
191. MSForms.Label.TabIndex, Integer  
192. MSForms.Label.Top, Single  
193. MSForms.Label.Value, Variant  
194. MSForms.Label.Visible, Boolean  
195. MSForms.Label.Width, Single  
196. MSHierarchicalFlexGridLib.MSHFlexGrid.Enabled, Boolean  
197. MSHierarchicalFlexGridLib.MSHFlexGrid.Font, StdFont  
198. MSHierarchicalFlexGridLib.MSHFlexGrid.Height, Single  
199. MSHierarchicalFlexGridLib.MSHFlexGrid.Left, Single  
200. MSHierarchicalFlexGridLib.MSHFlexGrid.Name, String  
201. MSHierarchicalFlexGridLib.MSHFlexGrid.TabIndex, Integer  
202. MSHierarchicalFlexGridLib.MSHFlexGrid.Top, Single  
203. MSHierarchicalFlexGridLib.MSHFlexGrid.Value, Variant  
204. MSHierarchicalFlexGridLib.MSHFlexGrid.Visible, Boolean  
205. MSMask.MaskEdBox.BackColor, Long  
206. MSMask.MaskEdBox.Caption, String  
207. MSMask.MaskEdBox.Enabled, Boolean  
208. MSMask.MaskEdBox.Font, StdFont  
209. MSMask.MaskEdBox.ForeColor, Long  
210. MSMask.MaskEdBox.Height, Single  
211. MSMask.MaskEdBox.Left, Single  
